text,translated_text,clean_output
Yèlèmali ya ka falenfin sugu wèrè fara kasôrô gnanawôlôman ka tiguè kabô dalan sugu wèrè la.,"Jula: Yèlèmali ya ka falenfin sugu wèrè fara kasôrô gnanawôlôman ka tiguè kabô dalan sugu wèrè la. English: The sun will be shining in the morning, and the moon will be shining in the evening.","The sun will be shining in the morning, and the moon will be shining in the evening."
"Bombu atomiki bara kè tchogo be gnèmina, a be barika ta ka kolo ni porotôn ni neutrôn tchaman ladjèn ka o kè gnôngô kan.","Jula: Bombu atomiki bara kè tchogo be gnèmina, a be barika ta ka kolo ni porotôn ni neutrôn tchaman ladjèn ka o kè gnôngô kan. English: I'm a bombu atomiki bara kè tchogo be gnèmina, a be barika ta ka kolo ni porotôn ni neutrôn tchaman ladjèn ka o kè gnôngô kan.","I'm a bombu atomiki bara kè tchogo be gnèmina, a be barika ta ka kolo ni porotôn ni neutrôn tchaman ladjèn ka o kè gnôngô kan."
"Danfeinw bei ka kissè fitini tlanni siguiyoroma fla : tlan kelen ye neutrons ye, flanan ye protons ye.","Jula: Danfeinw bei ka kissè fitini tlanni siguiyoroma fla : tlan kelen ye neutrons ye, flanan ye protons ye. English: Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw,","Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw, Danfeinw,"
Okèla sababou yé Zoom dougaléw ka djaw bara i nafô dougaléw gnadéssiguiniw ta gnongonnan.,"Jula: Okèla sababou yé Zoom dougaléw ka djaw bara i nafô dougaléw gnadéssiguiniw ta gnongonnan. English: I'm sorry, but I'm not sure what you're talking about.","I'm sorry, but I'm not sure what you're talking about."
"Hô Kafissa ni web proxies yé koro thchama lé kosson : obé inerneti sira bè yèlèma, http kélétè.","Jula: Hô Kafissa ni web proxies yé koro thchama lé kosson : obé inerneti sira bè yèlèma, http kélétè. English: http://www.youtube.com/watch?v=----------------------------------------------------------------------------------------",http://www.youtube.com/watch?v=----------------------------------------------------------------------------------------
Kounkènè lon pilan bi agnini ko i ka iya bisoukouya -o djati koura yé média labôli la a ni iyé djouroukélénaman miri bali taga bolo-o kalan.,Jula: Kounkènè lon pilan bi agnini ko i ka iya bisoukouya -o djati koura yé média labôli la a ni iyé djouroukélénaman miri bali taga bolo-o kalan. English: Jula: Kounkènè lon pilan bi agnini ko i ka iya bisoukouya -o djati koura yé média labôli la a ni iyé djouroukélénaman miri bali taga bolo-o kalan.,Jula: Kounkènè lon pilan bi agnini ko i ka iya bisoukouya -o djati koura yé média labôli la a ni iyé djouroukélénaman miri bali taga bolo-o kalan.
O tou kèla tagabolo yé n'ga nèguè tou diguila wagon yiri se'nw la.,Jula: O tou kèla tagabolo yé n'ga nèguè tou diguila wagon yiri se'nw la. English: I'm not a woman.,I'm not a woman.
"Noussodja bè sé ka kè kélé, fila ani saba tchèmanw la, ani moussomanw bissaba ni ouw dew tchaaman.","Jula: Noussodja bè sé ka kè kélé, fila ani saba tchèmanw la, ani moussomanw bissaba ni ouw dew tchaaman. English: I'm not a big fan of the word ""big"" but I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the","I'm not a big fan of the word ""big"" but I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the"
"Aali ni Al famou tchogo fangaman do soro lonniya ladinali ni miriya ye, Al bé labenli kela ingénieri boro nafaman doh lela ni ketchogo ye, kalan ye ni tchonhya dakegneli la maison Man.","Jula: Aali ni Al famou tchogo fangaman do soro lonniya ladinali ni miriya ye, Al bé labenli kela ingénieri boro nafaman doh lela ni ketchogo ye, kalan ye ni tchonhya dakegneli la maison Man. English: Aali ni Al famou tchogo fangaman do soro lonniya ladinali ni miriya ye, Al bé labenli kela ingénieri boro nafaman doh lela ni ketchogo ye, kalan ye ni tchonhya dakegneli la maison Man.","Aali ni Al famou tchogo fangaman do soro lonniya ladinali ni miriya ye, Al bé labenli kela ingénieri boro nafaman doh lela ni ketchogo ye, kalan ye ni tchonhya dakegneli la maison Man."
Feou mi hakan ya djaté bo tchogo lo (ni y ka seyan tan ni fila bo a ro ka a hakan ya dogomanou soro) o doo bè ka saba talan fila.,Jula: Feou mi hakan ya djaté bo tchogo lo (ni y ka seyan tan ni fila bo a ro ka a hakan ya dogomanou soro) o doo bè ka saba talan fila. English:,
Satelliti negejurusira tesse ka poritaboulou lo yoro ta sabou I kakan kabo kenekan I gnan loni sangorola ka soro ka weleli ke.,Jula: Satelliti negejurusira tesse ka poritaboulou lo yoro ta sabou I kakan kabo kenekan I gnan loni sangorola ka soro ka weleli ke. English: I kakan ka weleli ke.,I kakan ka weleli ke.
"Hali ni wagon sira lalagani lé, ni yiri dén plasini gnongon kôrô kataga, a nafa kabo soow ma kamasôrô uw bésé ka dôni saman dia, ani vitési baw la, dôni babaw miw tésé ka saman ubolo sira kolondow w kan térékonnon.","Jula: Hali ni wagon sira lalagani lé, ni yiri dén plasini gnongon kôrô kataga, a nafa kabo soow ma kamasôrô uw bésé ka dôni saman dia, ani vitési baw la, dôni babaw miw tésé ka saman ubolo sira kolondow w kan térékonnon. English: I'm a wagon, I'm a wagon.","I'm a wagon, I'm a wagon."
"Môgô ba karaman ko oyé nanou finyé yafô sani, warigbè, ni zira, fôlô tonnie oyé sé ka sôrô touba ayé o kètchogoya fôlô yé ni ka bô ni fin kôrôyé.","Jula: Môgô ba karaman ko oyé nanou finyé yafô sani, warigbè, ni zira, fôlô tonnie oyé sé ka sôrô touba ayé o kètchogoya fôlô yé ni ka bô ni fin kôrôyé. English: I'm fine, I'm fine.","I'm fine, I'm fine."
Môbilisen kan jamana yèlèman fo ka môgô kabakoya. Tônô fen ba min môbilisen ka kè anw ye o le ye ka dugutaga nôgôya kôsôbè ani ka la teliya.,Jula: Môbilisen kan jamana yèlèman fo ka môgô kabakoya. Tônô fen ba min môbilisen ka kè anw ye o le ye ka dugutaga nôgôya kôsôbè ani ka la teliya. English: The word is used to describe the person who is a member of the family.,The word is used to describe the person who is a member of the family.
Ni koun leye ko dja ka djabarani bei datougou; wo le be welle ko overscan Anglais kan'nan.,"Jula: Ni koun leye ko dja ka djabarani bei datougou; wo le be welle ko overscan Anglais kan'nan. English: I'm well, I'm well.","I'm well, I'm well."
Alimanw ya djidjoukôrô batow tunbé kiri ko U-Boats. Alimanw tun ka djisiralô ani kuwya djidjoukôrô batow boritchôgôlô fanani.,Jula: Alimanw ya djidjoukôrô batow tunbé kiri ko U-Boats. Alimanw tun ka djisiralô ani kuwya djidjoukôrô batow boritchôgôlô fanani. English: Alimanw ya djidjoukôrô batow boritchôgôlô fanani.,Alimanw ya djidjoukôrô batow boritchôgôlô fanani.
"Ali ni a gboutrou bè sé yèlèman, a sogolaw bè to gnankéléman.","Jula: Ali ni a gboutrou bè sé yèlèman, a sogolaw bè to gnankéléman. English: Ali is a gboutrou, a sogolaw.","Ali is a gboutrou, a sogolaw."
kounana tension bé kè bawo dji molecumi mi bé dji sanfè wélé la fanfan la o gnongon tchè ka tinmin fongnon moleculi mi bé o sanfè.,Jula: kounana tension bé kè bawo dji molecumi mi bé dji sanfè wélé la fanfan la o gnongon tchè ka tinmin fongnon moleculi mi bé o sanfè. English:,
"Foroba baasi belebele ba kelen le ye ni be ka korobo la siniman falen DVD tchogo la, o le ye a sanfe scanneri ye.","Jula: Foroba baasi belebele ba kelen le ye ni be ka korobo la siniman falen DVD tchogo la, o le ye a sanfe scanneri ye. English: Foroba baasi belebele ba kelen le ye ni be ka korobo la siniman falen DVD tchogo la, o le ye a sanfe scanneri ye.","Foroba baasi belebele ba kelen le ye ni be ka korobo la siniman falen DVD tchogo la, o le ye a sanfe scanneri ye."
"Kèrèkèrèlima, a dayira la ko maa bi se ka lôn ni môgô bi ala ka galo tiguè ni koumabaraninw dalamini kôsôbè.","Jula: Kèrèkèrèlima, a dayira la ko maa bi se ka lôn ni môgô bi ala ka galo tiguè ni koumabaraninw dalamini kôsôbè. English: I'm not a big fan of the word ""big"" but I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the","I'm not a big fan of the word ""big"" but I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the word ""big"" and I'm a big fan of the"
Saanou be na se ka baara tchogow sougouw miumè. A bi se kè ka meleke tchogow fèguè ra.,Jula: Saanou be na se ka baara tchogow sougouw miumè. A bi se kè ka meleke tchogow fèguè ra. English: I'm a bitch.,I'm a bitch.
"San nanni tèmini, brevet (sèbè myé nissodja) tun dila, mi tunbè brevet dugnugnan djonan dini MRI oya bara là.","Jula: San nanni tèmini, brevet (sèbè myé nissodja) tun dila, mi tunbè brevet dugnugnan djonan dini MRI oya bara là. English: The National Institute of Health (NIH) is a federal agency that is responsible for the development and use of the National Institute of Health's (NIH) science and technology programs.",The National Institute of Health (NIH) is a federal agency that is responsible for the development and use of the National Institute of Health's (NIH) science and technology programs.
