text,actual_category,predicted_category,logprob
"Nsesaeԑ de ‘genetic variation’ foforɔ bi ka ho, ԑnna ne yie yi no firi ‘expressed variation’ no mu.",science/technology,science/technology,-4550.3623046875
Fission topaɛ yɛ adwuma wɔ gyinapɛn a ɛne sɛ ɛgye ahoɔden na atumi aka nucleus a ɛwɔ protons ne neutrons beberee.,science/technology,sports,-4601.97412109375
Nneɛma nketenkete mmienu ɛna ɛbom yɛ nucleus no - neutrons ne protons.,science/technology,travel,-4501.9404296875
Wei ama zoom mfoninitwa ahwehwε no tumi ma mfonini yεfε paa te sε dea wↄde mfoninitwa ahwehwε a εwↄ focal ntwemu pↄtee na etwaaeε.,science/technology,sports,-4726.267578125
"Wɔn nimdeԑ fa ‘web proxies’ ho wɔ soro ԑnam nneԑma bebree nti: Wɔtumi dane Intanԑte so dwumadie nyinaa ani, na ԑnyԑ http nko ara.",science/technology,politics,-4706.49609375
Nkↄmmↄbↄ ho bↄtirimuyε hwehwε sε wo san susu dea wodwene fa dawurubↄ adwuma ho na wosua sε wobεdwene nnoↄma ho wↄ akwan ahodoↄ so.,science/technology,sports,-4768.28955078125
"Yei bɛyɛɛ adeɛ a na afei wɔtaa yɛ, nanso dadeɛ no maa ntwahonan a wɔde nnua ayɛ no weeɛ.",science/technology,sports,-4618.6416015625
"‘Prides’ no yԑ mmarima mpanimfoɔ no baako kɔsi mmiԑnsa a wɔbɔ abusua, na mmaa aduasa ne wɔn mma ka ho.",science/technology,travel,-4604.74951171875
"Ɛmfa ho sɛ AI wɔ abɔdeɛmu nyansapɛ ho anansesɛm a ɛyɛ den no, AI yɛ kɔmputa ho nyansapɛ ho nkorabata a ɛho hia paa, ɛyɛ sunan, adesua ne mfidie ho adenim mu nsesamu.",science/technology,sports,-4774.27294921875
Sεdeε εteε no (sε yεkyεmu dubaako na yenya akontahyεdeε a εno nkoaa gyina a) ma yεka sε εyε 3:2.,science/technology,sports,-4616.54296875
"‘Satellite’ fon no nyԑ ‘mobile phone’ no nsiananmu, ԑfiri sԑ wohia sԑ wopue bԑhunu ‘satellite’ no ansa na woatumi afrԑ obi.",science/technology,politics,-4632.64111328125
"Ɛmfa ho sɛ wɔde nnua a wɔahyehyɛ no ndidisoɔ ndidisoɔ na ayɛ teaseɛnam kwan no, ɛmaa mpɔnkɔ tumi de ahoɔhare tweeɛ na wotumi nso twee nneɛma a emu yɛ duro sene sɛ wonam kwan a ɛso yɛ twitwiritwitwiri a ɛwɔ hɔ no so.",science/technology,health,-4865.30810546875
"Nkurɔfoɔ nim nnuro mu nnoɔma te sɛ sika kɔkɔɔ, dwetɛ, ne kɔbere fi tete mere mu no, efiri sɛ yɛbɛhu wei nyinaa wɔ abɔdeɛ mu a yɛn danedanee mu na yetumi de anwinnade a ɛho adwuma ɛnnyɛ den na etu firi fam.",science/technology,entertainment,-4877.17333984375
"Kaa asesa nneɛma bebree wɔ wiase yi mu wɔ akwan pii so. Deɛ ɛsombo pa ara kaa ayɛ ne sɛ, ama yɛn akwantuo ayɛ mmrɛ asane nso ayɛ ntɛm.",science/technology,politics,-4665.08447265625
"Wɔyɛ saa de ma mfoni no nyinaa kata anim. Brɔfo kasa mu no wɔfrɛ no ""overscan"", a ase kyerɛ sɛ mfoni no bi kɔtɛ ɛfa bere a worebɔ no.",science/technology,travel,-4658.5107421875
Na wɔfrԑ German ‘submarines’ no U-Boats. Na Germanfoɔ no ayԑ adeԑ wɔ kwan a wɔfa so de ‘submarines’ di dwuma no ho.,science/technology,entertainment,-4635.8759765625
"Ɛmfa ho sɛ sɛdeɛ ɛte betumi asesa no, n'aduru mu deɛ ɛnsesa.",science/technology,politics,-4496.8857421875
"Nsuo ani bɔberɛ no yɛ adwuma firisɛ, ‘molecules’ a ɛwɔ nsuo no ani no ka bom deɛ emu yɛ den sene mframa ‘molecules’ no a ɛwɔ nsuo no so no.",science/technology,travel,-4607.15869140625
Ɔhaw baako a wɔtaa hyia bere a wode sini rekɔ DVD so no ne sɛ mfoni no fa bi kɔtɛ nkyɛn bere a worebɔ no.,science/technology,health,-4599.5791015625
"Ne titire ne sԑ, wɔkyerԑ sԑ wobԑtumi ahunu sԑ obi retwa ntorɔ wɔ berԑ a wobԑtumi akyerԑ ‘micro-expressions’ no ase yie.",science/technology,travel,-4633.55859375
Wobɛtumi asesa sika kɔkɔɔ afaafa ahodoɔ pii. Wobɛtumi nso asese no ayɛ no nketenkete.,science/technology,travel,-4566.076171875
"Sesei wɔde AI nhyehyɛe no tae di dwuma wɔ sikasɛm ho nsɛm, aduruyɛ, mfididwumayɛ ne asrafoɔ adwuma mu, efirisɛ wɔn ayɛ wɔ afie kɔmputa ne video so agudie software application so.",science/technology,politics,-4789.9931640625
"Wↄdaso yε de bεsi nnε, nanso dea εho hia paa yε sεdeε εteε a mfonitwa afidie ho nkateε abεsi anan mu no.",science/technology,sports,-4640.0126953125
Rule of thirds a wɔyɛɛ no basabasa na wɔdii ho fɛw no yɛ ɔkwan a wɔfa so danedane neama eni na wɔsan hwɛ sɛnea wɔhyehyɛ neama wɔ mfonini bi mu.,science/technology,sports,-4669.80078125
"Wei nko ara nna no adi adi sɛ “dinosaurs” binom wɔ ntakra, ɛyɛ adesuadeɛ a dodoɔ ara nim, nanso wei da nkrapan adi de kyerɛ mu fann a dodoɔ nso nnim, tesɛ ahosuo ne n’afaafa mmiɛnsa a yɛahyehyɛ.",science/technology,travel,-4763.3291015625
"Ɛbԑyԑ dԑn na ahoɔden a ԑwɔ Io atumi atwe me? Sԑ wogyina Io ani a, wo mu duru a wowɔ no Asase so no so te.",science/technology,sports,-4660.5732421875
