index_id,category,text
993,entertainment,"Nokho, zinenhlobo ehlukile yobuhle nokukhanga phakathi nobusika, ngamagquma amanithi athola iqhwa elanele nanikeza okokuzijabulisa okunjengokushushuluza eqhweni noma ukuntweza ngoqembe eqhweni."
755,entertainment,"Lawa mahhotela bekuyilapho abacebile nabadumile bangaleyo nkathi ababehlala khona, futhi kaningi ayenokuhla okuphambili nezenzakalo zasebusuku."
431,geography,"ITheki izungezwe izilwandle ezinhlangothini ezintathu: uLwandle i-Aegean ngasentshonalanga, uLwandle Olumnyama ngasenyakatho kanye noLwandle iMedithera ngaseningizimu."
1692,geography,Izindawo eziningi kude le enyakatho zinabantu abambalwa futhi ezinye cishe zingugwadule olungahlali muntu.
1205,health,"UDanielle Lantagne, isazi se-UN sesifo, uthe kunamathuba okuthi ukuqubuka kwesifo kubangelwe abagcini bokuthula."
1203,health,"Ngaphambi kokufika kwamabutho, iHaiti beyingakahlangabezani nezinkinga ezihlobene nesifo kusukela ngawo-1800."
1936,politics,"Ngo-1994, lombango waholela ekumenyezelweni kweRiphabhuliki yokuzimisa yaseTransnistria empumalanga Moldova, enohulumeni wayo nohlobo lwemali kodwa engaqashelwa yinoma yiliphi izwe eliyilungu le-UN."
280,politics,"Abahleli balombhikisho bathi babalelwa ku- 100 000 abantu abangena emadolobheni ase-Germanynjenge-Berlin, i-Cologne, i-Hamburg, ne-Hanover."
403,science/technology,"Ekuqaleni kwempi yahamba kakhulu ngaphezu kolwandle, kodwa njengoba ireda yaqala ukukhula nokucacisa okwengeziwe, imikhumbi yangaphansi komhlaba yaphoqelelwa ukuba ihambe ngaphansi kwamanzi ukuze ingabonwa."
1592,science/technology,"Njengoba ulwazi lwaseGrisi lwaluncipha, iNtshonalanga yazithola isuka ezimpandeni zayo zefilosofi nesayensi zobuGriki."
555,sports,Abasubathi bangazizwa sengathi bathanda umkhiqizo ngisho noma ungenazo izinzuzo zangempela.
195,sports,UMassa angeke atholakale okungenani isizini ka-2009 yonke.
688,travel,Izivakashi ezinesikhathi esilinganiselwe zingenza kahle ukuchitha isikhathi sazo kwenye indawo.
1764,travel,"Ngaphezu kwalokho, phawula ukuthi iphunga libiza amabhere kanye nezinye izilwane zasendle, ngakho gwema ukuphatha noma ukupheka ukudla okunephunga futhi ugcine ikamu lihlanzekile."
