index_id,category,text
993,entertainment,"Sai dai kuma, suna da wasu nau'ikan kyau da ɗaukar ido lokacin hunturu, yayin da yawancin tasoshin kan tudu su ke samun yawan dusar ƙanƙara kuma su ke samar da wasanni irin su gudun kan ƙanƙara da zarmiyar kan ƙanƙara."
755,entertainment,"Waɗannan otaloli sun kasance inda masu arziki da kuma sanannu na yau za su zama, kuma sau da yawa suna da wurin cin abincin dare mai kyau da kuma rayuwar dare."
431,geography,"Kasar turkiya ta yi iyaka da tekuna guda uku, wato Tekun Aegean a yamma, da Bakin teku a arewa sai kuma na Bahar rum a kudanci."
1692,geography,Manyan yankuna da ke gaba da arewa ba su da yawa kuma wasu kusan ba kowa ke zaune a ciki.
1205,health,"Danielle Lantagne, ƙwararriyar masaniyar Majalisar Dinkin Duniya kan cutar, ta bayyana cewa mai yiyuwa ne sojojin kiyaye zaman lafiya suka haifar da cutar."
1203,health,"Kafin isowar sojoji, Haiti bata taba fuskantar matsalolin da suka shafi cutar ba tun a shekarun 1800s."
1936,politics,"A shekarar 1994, wannan rikici ya haifar da kirkirar da kanta mai ikirarin Jamhuriyyar Transnistria a gabashin Moldova, wacce ke da gwamnatinta da kudin ta amma ba wata kungiyar mambobin Majalisar Dinkin Duniya ta amince da shi ba."
280,politics,"Masu shirya zanga-zangar sun ce kusan mutane 100,000 ne suka fito a biranen Jamus kamar su Berlin, Cologne, Hamburg, da Hanover."
403,science/technology,"A farkon yakin galibi suna tafiya akan saman teku, amma yayin da kimiyyar radar ta kara haɓaka, kwarancewa ta samu soasai yadda jiragen karkashin teku basu da zabi dole sai sun yi nutso yadda ba za’a iya ganin su ba."
1592,science/technology,"Kamar yadda ilimin Girka ya ragu, ita yamma ta sami kanta daga yankewar tushen falsafa da tushen kimiyya."
555,sports,Ƴan wasan motsa jiki na iya jin cewa sun fi son wani kaya ko da ba shi da wani ainihin amfani.
195,sports,Massa ya kamata ya fito aƙalla sauran lokacin kakar 2009.
688,travel,Yana da kyau baƙi masu ƙarancin lokaci su yi amfani da lokacin a wani wuri daban.
1764,travel,"Bugu da ƙari, ka sani cewa ƙamshi na janyo bear da waɗansu namun daji, don haka guji ɗauka ko dafa abinci mai ƙamshi da kuma tsaftace sansani."
