index_id,category,text
993,entertainment,"Oh koffei, Oh kofféi, ninnin wagati tunmanan, tchèkagni ani kônonkagni obéyé, ni sanfè kuru mikônon nègui ani mu bènan skii kè samara lamani ani yiri tani."
755,entertainment,"Hoteli nugu ye yoroye nafolo tigihu ani ma togoma mogo bena shi, ani toun be dumini gnuma kè ani touma dow la ani ka sufèla gnuma latimi."
431,geography,"Turqui djaman la miniyé fan saba kôdjila: Kôdji Agéen térébéyôrô, Kôdji Fiman sanfè yôrô ani kôdji Mediterranéen dogouman yôrô."
1692,geography,"nori fanfèla yôrô ba dowuman kè djama mayôrôyé ani ayôrôdow bé tukoonon yôrôyé, sigui téyi."
1205,health,"Danielle Lantagne, UN ta lonibaga ba do djangaro fila kè ro, we ko ko a daminan djonan bo ni kèlè la tiguè bagaw lé la."
1203,health,"Fôlô môgô tchienman nan, Haiti coungo to mantcha bana kolé foo kabini san 1800."
1936,politics,"San waga kélé ni kèmè kônondô ni bi-kônondô ni nani (1994) kônon, balawu mi gnaminèni yèrè kofô Transnistria djamana danli ma Moldovi djamana térébô fanfè mina yèrè tôgôra gouvèrènèman ani wori abolo n'ga ama long dounougnan forobaton djamanaw si boro."
280,politics,"Banbaga kolabênlaw tounko môgô bakêmê seguila Aliman dugubadôwla inafô Berlin, Cologne, Hamburg ni Hanover."
403,science/technology,"Lagèri daminin la o fanba tagamana kôgôdji sanfèla la, n'gua ina fô radari yiriwali damininna ani kèli lakika katimi djikônôn militèriw toun karabala ka taga dji dougouman ka o bali yéli ma."
1592,science/technology,"I yafô Grèki loniya dôgôyala, Faragwela ka yé ko o ya filozofi ani scientifis lôni djourou tiguèra."
555,sports,Farikolognagwèlaw be se ka miri ko o be fen dô kanu hali ni tônô bèrè fohi te o fen tôgô la.
195,sports,Massa kan ka bô san waga fila ni kônôndô gnôngôdan tô la.
688,travel,"Dounan minw waguati kôrô tô la, a ka fissa o man o yé o ka waguati tinmin yôrô gbèrè la."
1764,travel,"Ka faran o kan, a ya lo ko kasa be urisi wele ani kungo sogo to, o le kanman a kana kasa dulini tebi, ni o temena ka kan u seneya."
