text,actual_category,predicted_category,generated_text
ሚውቴሽን አዲስ የዘረመል ልዩነትን ይጨምራል ፣ እናም ምርጫው ከተገለፀው የልዩነት ገንዳ ውስጥ ያስወግደዋል።,science/technology,N/A,"""ሚውቴሽን አዲስ የዘረመል ልዩነትን ይጨምራል ፣ እናም ምርጫው ከተገለፀው የልዩነት ገንዳ ውስጥ ያስወግደዋል።"" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: ""ቭማዳ"
የፍንዳታ ቦንብ የሚሠራው ሁሉንም ኃይል በሚቻለው ፕሮቶን እና ኒውትሮን ወደ ኒውክለስ በመሰብሰብ በሚለው መመሪያ ነው።,science/technology,N/A,"""የፍንዳታ ቦንብ የሚሠራው ሁሉንም ኃይል በሚቻለው ፕሮቶን እና ኒውትሮን ወደ ኒውክለስ በመሰብሰብ በሚለው መመሪያ ነው።"" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science fiction
 ""ᏃD �"
ኒውክለሱ ሁለት ፓርቲክሎች አሉት - ኒውትሮንስ እና ፕሮቶንስ ናቸው።,science/technology,science/technology,"""ኒውክለሱ ሁለት ፓርቲክሎች አሉት - ኒውትሮንስ እና ፕሮቶንስ ናቸው።"" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science/technology.
 13 Oct "
ይህ የዙም ሌንሶችን ውስን የትኩረት ርዝመት ካላቸው ሌንሶች ጋር ተመጣጣኝ የሆነ የምስሎች ጥራት እንዲያወጡ አስችሏቸዋል።,science/technology,politics,"""ይህ የዙም ሌንሶችን ውስን የትኩረት ርዝመት ካላቸው ሌንሶች ጋር ተመጣጣኝ የሆነ የምስሎች ጥራት እንዲያወጡ አስችሏቸዋል።"" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: politics
 In my research I've come across"
እነሱ በብዙ ምክንያቶች ከድር ፕሮክሲዎች የበለጡ ናቸው፥ እነሱ http ን ብቻ ሳይሆን ሁሉንም የበይነመረብ ትራፊክን አቅጣጫን ያስቀይራሉ።,science/technology,science/technology,"""እነሱ በብዙ ምክንያቶች ከድር ፕሮክሲዎች የበለጡ ናቸው፥ እነሱ http ን ብቻ ሳይሆን ሁሉንም የበይነመረብ ትራፊክን አቅጣጫን ያስቀይራሉ።"" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science/technology.
 I recently found this:"
በይነተገናኝ ዲዛይን የሚዲያ ምርትን በተመለከተ ያለዎትን ግምቶች እንደገና እንዲገመግሙ እና መስመራዊ ባልሆኑ መንገዶች ማሰብን መማር ይጠይቃል።,science/technology,N/A,"""በይነተገናኝ ዲዛይን የሚዲያ ምርትን በተመለከተ ያለዎትን ግምቶች እንደገና እንዲገመግሙ እና መስመራዊ ባልሆኑ መንገዶች ማሰብን መማር ይጠይቃል።"" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: ""The country of which I am from"" I"
ይህ የተለመደ ተግባር ሆነ ፣ ግን ብረት በሠረገላዎቹ የእንጨት ጎማዎች ላይ የበለጠ የጉዳት ምክንያት ሆኗል።,science/technology,science/technology,"""ይህ የተለመደ ተግባር ሆነ ፣ ግን ብረት በሠረገላዎቹ የእንጨት ጎማዎች ላይ የበለጠ የጉዳት ምክንያት ሆኗል።"" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science/technology. There’s no scientific question"
የአንበሳ መንጋዎች የሚመሰረቱት ከአንድ እስከ ሶስት ወጣት ወንዶች፣ ሰላሳ ከሚደርሱ ሴቶች እና ደቦሎች ነው።,science/technology,travel,"""የአንበሳ መንጋዎች የሚመሰረቱት ከአንድ እስከ ሶስት ወጣት ወንዶች፣ ሰላሳ ከሚደርሱ ሴቶች እና ደቦሎች ነው።"" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: ""travel""
 I don't understand,"
AI የሳይንሳዊ ልቦለድ ጠንካራ ምልከታ ቢኖረውም፣ AI በማሽን ውስጥ ስለ ባህሪይ፣ መማር እና ጉብዝና ማስለመድ የሚያጠና የኮምፒውተር ሳይንስ በጣም አስፈላጊ ክፍል ነው።,science/technology,N/A,"""AI የሳይንሳዊ ልቦለድ ጠንካራ ምልከታ ቢኖረውም፣ AI በማሽን ውስጥ ስለ ባህሪይ፣ መማር እና ጉብዝና ማስለመድ የሚያጠና የኮምፒውተር ሳይንስ በጣም አስፈላጊ ክፍል ነው።"" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: I am not sure. We're currently trying"
የዚህ ቅርጸት ምጥጥነ ገጽታ (በጣም ቀላሉን አጠቃላይ የቁጥር ሬሾ ለማግኘት በአስራ ሁለት በመክፈል) 3:2 ነው ይባላል።,science/technology,N/A,"""የዚህ ቅርጸት ምጥጥነ ገጽታ (በጣም ቀላሉን አጠቃላይ የቁጥር ሬሾ ለማግኘት በአስራ ሁለት በመክፈል) 3:2 ነው ይባላል።"" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: 2:10 ሀ�"
