Model Size,Model Type,Value,value
0.56,bloom-unseen 0s,0,0.107849433327655
1.1,bloom-unseen 0s,0,0.0608567606757866
1.7,bloom-unseen 0s,0,0.0582001682085786
3.0,bloom-unseen 0s,0,0.0790729868719706
7.1,bloom-unseen 0s,0,0.141396998767094
0.56,bloom-unseen 0s,1,0.342138467013863
1.1,bloom-unseen 0s,1,0.178061685378758
1.7,bloom-unseen 0s,1,0.343913004108728
3.0,bloom-unseen 0s,1,0.245114400304685
7.1,bloom-unseen 0s,1,0.286047396844719
0.56,bloom-unseen 0s,2,0.278445111778445
1.1,bloom-unseen 0s,2,0.147608759390884
1.7,bloom-unseen 0s,2,0.476331084622959
3.0,bloom-unseen 0s,2,0.280735511947718
7.1,bloom-unseen 0s,2,0.4772218656473
0.56,bloom-unseen 0s,3,0.284536995096001
1.1,bloom-unseen 0s,3,0.114834486144844
1.7,bloom-unseen 0s,3,0.475256221619929
3.0,bloom-unseen 0s,3,0.255168232944176
7.1,bloom-unseen 0s,3,0.4796128864501
0.56,bloom-unseen 0s,4,0.246541776954793
1.1,bloom-unseen 0s,4,0.083677251734642
1.7,bloom-unseen 0s,4,0.441794576536043
3.0,bloom-unseen 0s,4,0.288000605675852
7.1,bloom-unseen 0s,4,0.492983637293565
0.56,bloom-unseen 0s,5,0.279757302441289
1.1,bloom-unseen 0s,5,0.109382560158958
1.7,bloom-unseen 0s,5,0.28839417835397
3.0,bloom-unseen 0s,5,0.220774272868795
7.1,bloom-unseen 0s,5,0.147562668040721
0.56,bloom-unseen 0s,6,0.257178096463811
1.1,bloom-unseen 0s,6,0.119534832522702
1.7,bloom-unseen 0s,6,0.436121881452951
3.0,bloom-unseen 0s,6,0.345638807669617
7.1,bloom-unseen 0s,6,0.512526224314632
0.56,bloom-unseen 0s,7,0.220607423507175
1.1,bloom-unseen 0s,7,0.124743172935944
1.7,bloom-unseen 0s,7,0.273079230447245
3.0,bloom-unseen 0s,7,0.127411460850017
7.1,bloom-unseen 0s,7,0.124035297838153
0.56,bloom-unseen 0s,8,0.0478109493653535
1.1,bloom-unseen 0s,8,0.0394047619047619
1.7,bloom-unseen 0s,8,0.0532239690134427
3.0,bloom-unseen 0s,8,0.0369458128078818
7.1,bloom-unseen 0s,8,0.0568617301096311
0.56,bloom-unseen 0s,9,0.246260321011506
1.1,bloom-unseen 0s,9,0.127095127095127
1.7,bloom-unseen 0s,9,0.419952929245926
3.0,bloom-unseen 0s,9,0.294308469119672
7.1,bloom-unseen 0s,9,0.483400725642793
0.56,bloom-unseen 0s,10,0.155823513908516
1.1,bloom-unseen 0s,10,0.0878194662906517
1.7,bloom-unseen 0s,10,0.124593640090445
3.0,bloom-unseen 0s,10,0.149561047890893
7.1,bloom-unseen 0s,10,0.0513338513338513
0.56,bloom-unseen 0s,11,0.273405884849049
1.1,bloom-unseen 0s,11,0.123992152416522
1.7,bloom-unseen 0s,11,0.473462451407314
3.0,bloom-unseen 0s,11,0.271883992832323
7.1,bloom-unseen 0s,11,0.430725353772461
0.56,bloom-unseen 0s,12,0.217230926830921
1.1,bloom-unseen 0s,12,0.0826793550586538
1.7,bloom-unseen 0s,12,0.317100250861432
3.0,bloom-unseen 0s,12,0.251876542568256
7.1,bloom-unseen 0s,12,0.365674961014306
0.56,bloom-unseen 0s,13,0.247682468958137
1.1,bloom-unseen 0s,13,0.136027770678934
1.7,bloom-unseen 0s,13,0.42201087133418
3.0,bloom-unseen 0s,13,0.278968889627887
7.1,bloom-unseen 0s,13,0.457502651092911
0.56,bloom-unseen 0s,14,0.444949185441411
1.1,bloom-unseen 0s,14,0.237570023159817
1.7,bloom-unseen 0s,14,0.284919103785563
3.0,bloom-unseen 0s,14,0.145816596256209
7.1,bloom-unseen 0s,14,0.212476412476412
0.56,bloom-unseen 0s,15,0.414391720392075
1.1,bloom-unseen 0s,15,0.38927590266876
1.7,bloom-unseen 0s,15,0.397217456546082
3.0,bloom-unseen 0s,15,0.415044793927133
7.1,bloom-unseen 0s,15,0.418641790439027
0.56,bloom-unseen 0s,16,0.221821285063843
1.1,bloom-unseen 0s,16,0.142657342657343
