Model Size,Model Type,Value,value
0.56,bloom-seen 0s,0,0.8
1.1,bloom-seen 0s,0,1.0
1.7,bloom-seen 0s,0,0.9
3.0,bloom-seen 0s,0,1.0
7.1,bloom-seen 0s,0,1.6
0.56,bloom-seen 0s,1,1.5
1.1,bloom-seen 0s,1,2.3
1.7,bloom-seen 0s,1,6.2
3.0,bloom-seen 0s,1,12.3
7.1,bloom-seen 0s,1,15.2
0.56,bloom-seen 0s,2,0.3
1.1,bloom-seen 0s,2,0.4
1.7,bloom-seen 0s,2,0.9
3.0,bloom-seen 0s,2,1.1
7.1,bloom-seen 0s,2,5.4
0.56,bloom-seen 0s,3,0.3
1.1,bloom-seen 0s,3,0.6
1.7,bloom-seen 0s,3,0.5
3.0,bloom-seen 0s,3,0.7
7.1,bloom-seen 0s,3,0.9
0.56,bloom-seen 0s,4,1.2
1.1,bloom-seen 0s,4,1.0
1.7,bloom-seen 0s,4,3.6
3.0,bloom-seen 0s,4,4.8
7.1,bloom-seen 0s,4,8.8
0.56,bloom-seen 0s,5,3.4
1.1,bloom-seen 0s,5,5.2
1.7,bloom-seen 0s,5,14.8
3.0,bloom-seen 0s,5,15.2
7.1,bloom-seen 0s,5,31.2
0.56,bloom-seen 0s,6,0.5
1.1,bloom-seen 0s,6,0.8
1.7,bloom-seen 0s,6,2.8
3.0,bloom-seen 0s,6,8.9
7.1,bloom-seen 0s,6,14.6
0.56,bloom-seen 0s,7,0.1
1.1,bloom-seen 0s,7,0.1
1.7,bloom-seen 0s,7,0.5
3.0,bloom-seen 0s,7,0.5
7.1,bloom-seen 0s,7,0.7
0.56,bloom-seen 0s,8,6.3
1.1,bloom-seen 0s,8,9.7
1.7,bloom-seen 0s,8,19.8
3.0,bloom-seen 0s,8,28.7
7.1,bloom-seen 0s,8,38.0
0.56,bloom-seen 0s,9,0.2
1.1,bloom-seen 0s,9,0.4
1.7,bloom-seen 0s,9,3.6
3.0,bloom-seen 0s,9,2.9
7.1,bloom-seen 0s,9,8.5
0.56,bloom-seen 0s,10,0.3
1.1,bloom-seen 0s,10,1.6
1.7,bloom-seen 0s,10,3.9
3.0,bloom-seen 0s,10,4.3
7.1,bloom-seen 0s,10,8.0
0.56,bloom-seen 0s,11,0.6
1.1,bloom-seen 0s,11,0.3
1.7,bloom-seen 0s,11,0.7
3.0,bloom-seen 0s,11,0.9
7.1,bloom-seen 0s,11,1.3
0.56,bloom-seen 0s,12,1.2
1.1,bloom-seen 0s,12,2.5
1.7,bloom-seen 0s,12,6.2
3.0,bloom-seen 0s,12,11.4
7.1,bloom-seen 0s,12,20.7
0.56,bloom-seen 0s,13,0.1
1.1,bloom-seen 0s,13,0.7
1.7,bloom-seen 0s,13,1.2
3.0,bloom-seen 0s,13,3.1
7.1,bloom-seen 0s,13,7.0
0.56,bloom-seen 0s,14,0.7
1.1,bloom-seen 0s,14,0.6
1.7,bloom-seen 0s,14,0.6
3.0,bloom-seen 0s,14,0.7
7.1,bloom-seen 0s,14,1.3
0.56,bloom-seen 0s,15,0.4
1.1,bloom-seen 0s,15,0.4
1.7,bloom-seen 0s,15,0.6
3.0,bloom-seen 0s,15,0.9
7.1,bloom-seen 0s,15,1.8
0.56,bloom-seen 0s,16,0.4
1.1,bloom-seen 0s,16,0.4
1.7,bloom-seen 0s,16,0.4
3.0,bloom-seen 0s,16,0.9
7.1,bloom-seen 0s,16,1.3
0.56,bloom-seen 0s,17,0.7
1.1,bloom-seen 0s,17,0.5
1.7,bloom-seen 0s,17,0.5
3.0,bloom-seen 0s,17,0.6
7.1,bloom-seen 0s,17,1.1
0.56,bloom-seen 0s,18,0.3
1.1,bloom-seen 0s,18,0.8
1.7,bloom-seen 0s,18,2.2
3.0,bloom-seen 0s,18,2.7
7.1,bloom-seen 0s,18,7.7
0.56,bloom-seen 0s,19,0.4
1.1,bloom-seen 0s,19,0.9
1.7,bloom-seen 0s,19,1.8
3.0,bloom-seen 0s,19,3.1
7.1,bloom-seen 0s,19,4.9
0.56,bloom-seen 0s,20,1.0
1.1,bloom-seen 0s,20,0.9
1.7,bloom-seen 0s,20,1.8
3.0,bloom-seen 0s,20,3.3
7.1,bloom-seen 0s,20,6.0
0.56,bloom-seen 0s,21,0.4
1.1,bloom-seen 0s,21,0.9
1.7,bloom-seen 0s,21,0.6
3.0,bloom-seen 0s,21,0.9
7.1,bloom-seen 0s,21,1.9
0.56,bloom-seen 0s,22,0.7
1.1,bloom-seen 0s,22,1.0
1.7,bloom-seen 0s,22,0.8
3.0,bloom-seen 0s,22,1.3
7.1,bloom-seen 0s,22,1.8
0.56,bloom-seen 0s,23,0.4
1.1,bloom-seen 0s,23,0.5
1.7,bloom-seen 0s,23,1.0
3.0,bloom-seen 0s,23,1.4
7.1,bloom-seen 0s,23,4.5
0.56,bloom-seen 0s,24,0.2
1.1,bloom-seen 0s,24,0.4
1.7,bloom-seen 0s,24,1.8
3.0,bloom-seen 0s,24,2.4
