62003016	Faith	Jesucristo ie cáanano cáɨconi iga ; áfedo nana izíruillafuiaɨna onódɨcaɨ . Afe izói caɨ cáananona lloñeno Jesuna ɨ́ɨnotɨnori daɨí abɨna zóoferedɨcaɨ .
43013001	Grace	Jae pascua rafue uícodɨrui . Jesús bie énɨena ie fɨénocaillana , ie Moo dɨne jáillɨrui áɨnozillana fɨdɨde . Ieɨena énɨemo itɨ́nona izíruite . Ua jaca fáɨcanocaiñeno íaɨoɨna izíruite .
58003017	Sin	¿ Mei nɨ́ɨmacɨ cuarenta dɨga fɨmona Juzíñamuina icɨ́ritate ? Mei nana afe Juzíñamui uai ɨ́ɨnoñeno fɨeni fɨnódɨno ; nɨɨ afémacɨ ícuruaɨ énɨe zaféredɨnomo fɨénocaiga .
60001014	Recommendation	Ocuíllana jíeruite úruiaɨ izói omoɨ iri . Jaiai Juzíñamuina omoɨ ónoñena llezica ómoɨmo ite comecɨ jitáillafue izói , omoɨ iñeno iri .
45011032	Grace	Bie uáillaɨmona bífuena onódɨcaɨ : Nana jɨáɨe comɨnɨ ie uaina dájerize ɨ́ɨnoñediaɨoɨ . Ie uaina caɨ ɨ́ɨnoñenamona fɨénidɨfuiaɨ fɨnófɨredɨcaɨ . Iemona Juzíñamui nana caɨna dájerize caɨ gaɨga fɨénidɨfuiaɨmo llaveca izóidɨnona jóonete . Afémɨe bie izói caɨna daɨde , afe méifomo afémɨe nana caɨmo dájerize dúecaillena .
66006006	Description	Iemo cáadɨmɨiaɨ cɨ́gɨmona dáamɨe úrilla uai cacádɨcue . Aféuai daɨde : — Daa kilo trigo daa mona táɨjɨna fɨdɨ . Iemo daámani kilo cebada daa mona táɨjɨna fɨdɨ . Iemo aceite vino dɨga jaca jeruíredeza , mei afe ɨballe úcube iñédeza , — daɨde .
59004010	Recommendation	Caɨ Ocuíraɨma Jesucristo uiécomo omoɨ manánairi , íemona afémɨe ómoɨna caifo naidáneiteza .
44017031	Grace	‘ Nana comɨ́nɨmo itɨ́fuiaɨ izire jɨcánollɨrui Juzíñamui jae mamede . Aféruillaɨdo afémɨe nɨzécamɨedo jaɨ́cɨna caɨmo izire jɨcánoite . Juzíñamui afe nɨzécamɨena nana comɨ́nɨmo ñue jino uáfuena onótate ; tɨ́illanomona íena meine abɨdo cáatanado nana comɨ́nɨna uáfodo jino fɨdɨ́tate , — daɨí Pablo llote .
43019002	Description	Iemo fuiríraɨnɨ ɨfo icuifoɨ eegɨ níinacuifoɨ Jesumo jɨtádiaɨoɨ . Afe llezica ráifide illaɨma ɨníroina íemo jɨtádiaɨoɨ .
54005014	Recommendation	Ie jira naɨ fecɨ́naite jitáɨngona daɨdɨcue : Abɨdo ɨníreiri . Ɨníreillano úruereiri . Daje izói jofo náangona ñue o iri , Taɨfemo jaɨnáidɨno ómoɨna úridoɨñeilleza , daɨdɨcue .
43014011	Faith	Cue Moomo cue íllana ɨɨno ; afe izói Moo cuemo íllana ɨɨno . Ménaillɨnoɨ dáanomo itɨ́cocoza . Daɨí omoɨ ɨ́ɨnoiacañenia cue fɨnócafuena ɨɨno .
66020014	Violence	Afe mei ‘ muerte ’ daɨna comɨnɨ tɨíllafue boode jóraimo dotaca , ie mei nɨné táɨnocaide . Daje izói dáanomo naui tɨ́idɨno ɨbáinaco afénomo dotaca . Dotaca mei nɨné táɨnocaide . Afe bie boode jorai , íiraɨe tɨ́illana mameide .
58009026	Description	Afémacɨ jáifɨrena izói Cristo jáifɨredena fɨgóñede . Mei nɨbaɨ afémɨe daɨí dɨga icaiño jáiadɨ , íemo énɨe fɨ́nuaruimona afémɨe afe izói dɨga icaiño meine abɨdo tɨ́irede ; mei íadɨ afe izóiñedeza . Afémɨe caɨ illáruillaɨdo jaiai lloga Juzíñamui fɨnóllɨfue fuilla llezica , dácaiño fia cómena íficaillano caɨmo cɨ́ocaizaɨbite . Ua afémɨe bínɨemo caɨ jɨáɨnona ie tɨ́izaɨbillado , nana caɨmo ite fɨénidɨfuiaɨ nɨné féillena oni dote .
44013018	Description	Ua mei Juzíñamui comecɨ jitáinafue naɨ fɨgo fuitáñediaɨoɨ , mei íadɨ afe táɨzicɨmo cuarenta dɨga fɨmona Juzíñamui íaɨoɨna zófeñeno úiñote .
46011033	Recommendation	Mei cue ámatɨaɨ , bie izóideza : Comunión güitállena omoɨ gaɨríadɨ , dámɨe raɨre güiñeno dájena omoɨ güitálleza conima omoɨ úiñori .
66006012	Violence	Cordero nane jɨáɨe ‘ sexto ’ daɨna sello cuata llezica , eróidɨcuemo , énɨe ɨere jacɨre docaide . Iemo jitoma zúunaillana , jɨtaca jítɨroi izói éroide . Afe llezica fɨui náauina jíaɨrede dɨe izói méidoficaide .
58011035	Violence	Daje izói Juzíñamuimo ɨ́ɨnuamona dáarie rɨngónɨaɨmona íaɨoɨ úruiaɨ tɨ́ide íadɨ , meine abɨdo íaɨoɨmo cáataga . Mei íadɨ jɨáɨmacɨ naɨ Juzíñamuimo ɨ́ɨnua llezica , ɨbátarede tɨ́ide jíllotafuena lloñédiaɨoɨ , mei aféfuedo Juzíñamuina jáanotaitɨcaɨ , daɨdíaɨoɨ , íadɨ Juzíñamuina jáanotanidiaɨoɨ . Ie jira ɨere duere zefuítano tɨtácaiaɨoɨ . Daɨítadena lloñédiaɨoɨ ; mei afémacɨ meine abɨdo caana mei , jamánomo ñuera zíiñona illáfuena méaicaiñeno maiñóacadiaɨoɨza .
44016037	Violence	Mei íadɨ Pablo llavériraɨnɨna daɨde : — Romano ímɨedɨcoco , mei íadɨ cócomo jɨcánoñeno razɨdo cócona fatɨ́omoɨ . Faano cócona llavétatɨomoɨ . ¿ Mei íadɨ ja birui báinino cócona zuitátatɨomoɨ ? Mei íeñedeza . Coco llavétatɨno mai coco zúitaɨbiri , — daɨdíaillɨnoɨ .
45013009	Recommendation	Jaiai Juzíñamui ocuica lletara uaillaɨ daɨde : “ Jɨruífuena fɨnóñeno iri , cómena tɨtáñeno iri , merɨ́riñeno iri , jɨáɨmamo táɨnona lloñeno iri , jɨáɨmɨemo ite ráanɨaɨri úradoiñeno iri . ” Mei íadɨ bie ocuica uaillaɨ naa jɨáɨe lletara uáillaɨri daa bie dáɨnamo dájena itíaɨoɨ : “ Dama o abɨna o izíruilla izói , afe izói o abɨ cómena izíruiri . ”
62003003	Faith	Nana afémɨemo daɨí comécɨidɨmacɨ danɨ dáamacɨ nana ɨ́aɨfuiaɨmona ñue dóficaitadiaɨoɨ , mei Jesucristo ɨáɨfuenidɨmɨe illa izói íitɨcaɨ .
45007022	Faith	Mei jɨáɨfodo cue comécɨdo Juzíñamui ocuilla uaina gáɨdɨcue .
50004004	Recommendation	Nágaruillaɨdo caɨ Ocuíraɨmamo mai omoɨ caɨmátaioicairi . Nane dáanomo daɨdɨcue , mai caɨmátaioicairi .
66001012	Description	Bu cuemo úrilla daɨíllena abɨdo gɨ́recaidɨcue . Gɨ́recaillano , siete dɨ́gade oro fɨnoina mechérana cɨódɨcue .
