text,translated_text,clean_output
Ła mutassion zonta ‘na nova variassion genetica e ła session ła cava via dal pool deła variassion espressa.,"Venetian: Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Venetian: A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Venetian: Ła mutassion zonta ‘na nova variassion genetica e ła session ła cava via dal pool deła variassion espressa. English: The new mutation zone is a new genetic mutation and the session has been moved from the pool of expressible mutations. Venetian: Ła mutassion zonta ‘na nova variassion genetica e ła session ła cava via dal pool deła variassion espressa. English: The new mutation zone is a new genetic mutation and the session has been moved from the pool of expressible mutations.",The new mutation zone is a new genetic mutation and the session has been moved from the pool of expressible mutations. Venetian: Ła mutassion zonta ‘na nova variassion genetica e ła session ła cava via dal pool deła variassion espressa.
La bonba a fission funsiona pal principio che ghe vol energia par metar insieme un nucleo co tanti protoni e neutroni.,"Venetian: Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Venetian: A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Venetian: La bonba a fission funsiona pal principio che ghe vol energia par metar insieme un nucleo co tanti protoni e neutroni. English: The fusion bomb works on the principle that it uses energy to combine a nucleus with many protons and neutrons. Venetian: La bonba a fission funsiona pal principio che ghe vol energia par metar insieme un nucleo co tanti protoni e neutroni. English: The fusion bomb works on the principle that it uses energy to combine a nucleus with many protons and neutrons.",Venetian: La bonba a fission funsiona pal principio che ghe vol energia par metar insieme un nucleo co tanti protoni e neutroni. The fusion bomb works on the principle that it uses energy to combine a nucleus with many protons and neutrons.
I nuclei xe fatti de do particee: neutroni e protoni.,"Venetian: Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Venetian: A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Venetian: I nuclei xe fatti de do particee: neutroni e protoni. English: The nuclei are made of two parts: neutrons and protons. Venetian: I nuclei sono composti da due parti: neutrini e protoni. English: The nuclei are made of two parts: neutrons and protons.",The nuclei are made of two parts: neutrons and protons. Venetian: I nuclei sono composti da due parti: neutrini e protoni.
Questo ga permeso ae lenti zoom de far dee foto de ‘na quałità simiłe a quea che ti ga co lenti che ga lunghessa focałe fissa.,"Venetian: Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Venetian: A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Venetian: Questo ga permeso ae lenti zoom de far dee foto de ‘na quałità simiłe a quea che ti ga co lenti che ga lunghessa focałe fissa. English: This allows me to zoom in to a similar level to the one that you can get with a camera with fixed focal length. Venetian: Ae foto de ‘na quałità simiłe a quea che ti ga co lenti che ga lunghessa focałe fissa. English: A similar level to the one that you can get with a camera with fixed focal length.",This allows me to zoom in to a similar level to the one that you can get with a camera with fixed focal length. Venetian: Ae foto de ‘na quałità simiłe a quea che ti ga co lenti che ga lunghessa focałe fissa.
"I xe superiori ai web-proxy pa diversi motivi: i ridiresiona tuto el trafico internet, no soło che http.","Venetian: Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Venetian: A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Venetian: I xe superiori ai web-proxy pa diversi motivi: i ridiresiona tuto el trafico internet, no soło che http. English: I’m superior to web-proxys for a number of reasons: they reroute all the traffic, so you don’t know what http. Venetian: I’m superior to web-proxys for a number of reasons: they reroute all the traffic, so you don’t know what http. Venetian: I’m superior to web-proxys for a number of reasons: they reroute all the traffic, so you don’t know what http. Veneti","I’m superior to web-proxys for a number of reasons: they reroute all the traffic, so you don’t know what http. Veneti Venetian: I’m superior to web-proxys for a number of reasons: they reroute all the traffic, so you don’t know what http."
Pal disegno interativo bisogna che te rivałuta tute łe to suposisioni soa produssion dei media e che te inpara a pensar in modi che no xe lineari.,"Venetian: Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Venetian: A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Venetian: Pal disegno interativo bisogna che te rivałuta tute łe to suposisioni soa produssion dei media e che te inpara a pensar in modi che no xe lineari. English: Interactive design you need to consider all the assumptions made in the production of the media and think in ways that are not linear. Venetian: Pal disegno interativo bisogna che te rivałuta tute łe to suposisioni soa produssion dei media e che te inpara a pensar in modi che no xe lineari. English: Interactive design you need to consider all the assumptions made in the production of the media and think in ways that are not linear.",Interactive design you need to consider all the assumptions made in the production of the media and think in ways that are not linear. Venetian: Pal disegno interativo bisogna che te rivałuta tute łe to suposisioni soa produssion dei media e che te inpara a pensar in modi che no xe lineari.
"Questa xe deventà ‘na pratica comune, ma el fèro desféa e ròde de legno dei vagoni.","Venetian: Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Venetian: A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Venetian: Questa xe deventà ‘na pratica comune, ma el fèro desféa e ròde de legno dei vagoni. English: This is becoming a common practice, but the ferryman has broken it and the wooden planks of the boat.","This is becoming a common practice, but the ferryman has broken it and the wooden planks of the boat."
I branchi xe fati da uno a tre mas-ci adulti inparentài e co fin a trenta femene e cucioi.,"Venetian: Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Venetian: A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Venetian: I branchi xe fati da uno a tre mas-ci adulti inparentài e co fin a trenta femene e cucioi. English: The branches are cut from one to three adults, and from thirty to forty women and children. Venetian: I branchi xe fati da uno a tre mas-ci adulti inparentài e co fin a trenta femene e cucioi. English: The branches are cut from one to three adults, and from thirty to forty women and children.","Venetian: I branchi xe fati da uno a tre mas-ci adulti inparentài e co fin a trenta femene e cucioi. The branches are cut from one to three adults, and from thirty to forty women and children."
"Anca se l’Inteigensa Artificiałe ga calcossa de fantasiensa, ła xe ‘na parte tant inportante dea siensa dei computer, e ła ga a che fare col comportamento, aprendimento e adatamento intełigente in te ’na machina.","Venetian: Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Venetian: A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Venetian: Anca se l’Inteigensa Artificiałe ga calcossa de fantasiensa, ła xe ‘na parte tant inportante dea siensa dei computer, e ła ga a che fare col comportamento, aprendimento e adatamento intełigente in te ’na machina. English: If the artificial intelligence is so important, then it is also a part of the human mind, and it is also a part of the way we learn, adapt and behave in a machine.","If the artificial intelligence is so important, then it is also a part of the human mind, and it is also a part of the way we learn, adapt and behave in a machine."
El raporto d’aspèto de ‘sto formato (dividendo par dodese par otegnèr el raporto co numero intero pì senplice) xe de conseguensa detto 3:2.,"Venetian: Ła Turchia xe circondà dal mar da tre parti; el Mar Egeo a ovest, el Mar Nero a nord e el Mar Mediteraneo a sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Venetian: A l’inissio dea guèra ‘ndava in superficie ma quando i radar ga tacà essar sviłupai e xe deventai pì precisi i sotomarini xe stà costréti a ‘ndàr sotoacqua pa no essar visti. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Venetian: El raporto d’aspèto de ‘sto formato (dividendo par dodese par otegnèr el raporto co numero intero pì senplice) xe de conseguensa detto 3:2. English: The report format (dividing by two to get the total number) is said to be 3:2. Venetian: La ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘",The report format (dividing by two to get the total number) is said to be 3:2. Venetian: La ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘ndàr dea ‘
