text,actual_category,predicted_category
ሚውቴሽን አዲስ የዘረመል ልዩነትን ይጨምራል ፣ እናም ምርጫው ከተገለፀው የልዩነት ገንዳ ውስጥ ያስወግደዋል።,science/technology,travel
የፍንዳታ ቦንብ የሚሠራው ሁሉንም ኃይል በሚቻለው ፕሮቶን እና ኒውትሮን ወደ ኒውክለስ በመሰብሰብ በሚለው መመሪያ ነው።,science/technology,sports
ኒውክለሱ ሁለት ፓርቲክሎች አሉት - ኒውትሮንስ እና ፕሮቶንስ ናቸው።,science/technology,travel
ይህ የዙም ሌንሶችን ውስን የትኩረት ርዝመት ካላቸው ሌንሶች ጋር ተመጣጣኝ የሆነ የምስሎች ጥራት እንዲያወጡ አስችሏቸዋል።,science/technology,health
እነሱ በብዙ ምክንያቶች ከድር ፕሮክሲዎች የበለጡ ናቸው፥ እነሱ http ን ብቻ ሳይሆን ሁሉንም የበይነመረብ ትራፊክን አቅጣጫን ያስቀይራሉ።,science/technology,health
በይነተገናኝ ዲዛይን የሚዲያ ምርትን በተመለከተ ያለዎትን ግምቶች እንደገና እንዲገመግሙ እና መስመራዊ ባልሆኑ መንገዶች ማሰብን መማር ይጠይቃል።,science/technology,politics
ይህ የተለመደ ተግባር ሆነ ፣ ግን ብረት በሠረገላዎቹ የእንጨት ጎማዎች ላይ የበለጠ የጉዳት ምክንያት ሆኗል።,science/technology,travel
የአንበሳ መንጋዎች የሚመሰረቱት ከአንድ እስከ ሶስት ወጣት ወንዶች፣ ሰላሳ ከሚደርሱ ሴቶች እና ደቦሎች ነው።,science/technology,sports
AI የሳይንሳዊ ልቦለድ ጠንካራ ምልከታ ቢኖረውም፣ AI በማሽን ውስጥ ስለ ባህሪይ፣ መማር እና ጉብዝና ማስለመድ የሚያጠና የኮምፒውተር ሳይንስ በጣም አስፈላጊ ክፍል ነው።,science/technology,health
የዚህ ቅርጸት ምጥጥነ ገጽታ (በጣም ቀላሉን አጠቃላይ የቁጥር ሬሾ ለማግኘት በአስራ ሁለት በመክፈል) 3:2 ነው ይባላል።,science/technology,sports
የሳተላይት ስልክ ደወል ስታደርግ ሳተላይቱን በቀጥታ መስመር ለማየት እንዲቻል ከቤት ውጭ ግልጽ ሆነው በሚታዩ መስመሮች ላይ መሆን ስላለብህ፣ በጠቅላላው የተንቀሳቃሽ ስልክ የተንቀሳቃሽ ስልክ መተኪያ አይደለም።,science/technology,sports
ምንም እንኳን ሰረገላዎቹ ትይዩ ጣውላዎችን ብቻ ያካተቱ ቢሆኑም፣ ፈረሶችን በበለጠ ፍጥነትን ለማሳካት የሚጎትቷቸው እና ከቀኑ ትንሽ አስቸጋሪ ከሆኑ መንገዶች ይልቅ ትላልቅ ጭነቶች መጎተትን ኣስቻሉ።,science/technology,travel
ሰዎች ከጥንት ጀምሮ እንደ ወርቅ ፣ ብር እና ናስ ያሉ መሠረታዊ ኬሚካላዊ ንጥረ ነገሮችን ያውቃሉ ፣ እነዚህ ሁሉ በተፈጥሮ ውስጥ ሊገኙ ስለሚችሉ በጥንታዊ መሣሪያዎች ለማዕድን ቁፋሮ ቀላል ናቸው።,science/technology,travel
መንኰራኩር ዓለምን በሚያስደንቅ ሁኔታ ለውጦታል። መንኮራኩሩ ለእኛ ያደረገው ትልቁ ነገር በጣም ቀላል እና ፈጣን መጓጓዣ ስለሰጠን ነው።,science/technology,politics
ይህ የተሠራው ምስሉ አጠቃላይ ማያ ገጹን እንዲሸፍን ለማድረግ ነው። ያ ኦቨር ስካን ይባላል።,science/technology,travel
የጀርመን የባህር ስርጓጅ መርከቦች ዩ-ቦቶች ይባላሉ። ጀርመኖች ሰርጓጅ መረከቦቻቸውን መምራት እና ማሰራት ላይ በጣም ጎበዝ ነበሩ።,science/technology,health
አካላዊ ሁኔታው ቢቀየርም፣ ኬሚካዊ ሁኔታው እንደነበረ ይቆያል።,science/technology,politics
የ ውጫዊ ገጽ ውጥረት የሚከተሰው በውጫዊው የውሃው ገጽ ላይ የሚገኙት የውሃ ሞለኪውሎች በላያቸው ላይ ከሚገኙት ከአየር ሞለኪውሎች ይልቅ እርስ በእርሳቸው በጥብቅ ስለሚሳሳቡ ነው።,science/technology,politics
ፊልምን ወደ ዲቪዲ ቅርጸት ለመለወጥ ሲሞክሩ በጣም ከተለመዱት ችግሮች መካከል አንዱ እጅግ በጣም ከመጠን በላይ ነው።,science/technology,travel
በተለይም፣ አንድ ሰው ጥቃቅን-አገላለጾችን በትክክል በመተርጎም አንድ ሰው መዋሸት አለመዋሸቱን ማረጋገጥ ይችላል ተብሎ ይታመናል።,science/technology,politics
ወርቅ ወደ ሁሉም ዓይነት ቅርፆች መሰራት ይችላል። ወደ ትንንሽ ቀርፆች መጠቅለል ይችላል።,science/technology,health
የሰው ሠራሽ ብልህነት ሥርዓት አሁን በኢኮኖሚክስ፣ ሕክምና ፣ ምህንድስና እና የውትድርና ዘርፎች ላይ በአብዛኛው ጥቅም ላይ ይውላል፤ በብዙ የቤት ኮምፒውተሮች እና የቪዲዮ ጨዋታ መተግበሪያዎች ላይም ተወህዶ ተሠርቷል።,science/technology,health
ዛሬ ድረስ ይመረታል ነገር ግን ምጥጥነ ዕይታው በዲጂታል ካሜራዎች ምስል ዳሳሽ ቅርጸቶች ተወርሷል።,science/technology,politics
የተንገላታው እና የሚሳቅበት የሦስተኛ ወገን ደንብ በምስሉ ላይ የተወሰነ ደረጃን ጠብቆ በሚቆይበት ጊዜ ተለዋዋጭነትን ለመፍጠር ቀላል መመሪያ ነው።,science/technology,politics
ይህ ዳይኖሰሮች ላባ እንደነበራቸው፣ የተስፋፋ ጽንሰ ሃሳብ፣ ብቻ ሳይሆን ነገር ግን ቅሪት አካላት ሊያቀርቡ የማይችሉትን እንደ ቀለም እና ባለ ሶስት ልኬት አቀማመጥ አይነት ዝርዝሮችንም ያረጋግጣል።,science/technology,sports
የአዮ የስበት ኃይል እንዴት ሊስበኝ ይችላል? በአዮ ላይ ከቆሙ ክብደትዎ በምድር ላይ ሊመዝኑ ከሚችሉት ክብደቱ ያንሳል፡፡,science/technology,health
NextGen፣ FAA አንድ አውሮፕላን በየዓመቱ ሚሊየን ጋሎን ነዳጅ እንዲቆጥብ እና የካርቦን ልቀትን እንዲቀንስ አጭር ጉዞዎችን እንዲያረግ ያስችላል ብሎ የሚያውጀው ሥርዓት ነው።,science/technology,travel
ኒውሮባዮሎጂካል ውሂብ የመገንዘብ ምርመራን ቲዎሬቲካል አቀራረብ በተመለከተ አካላዊ ማስረጃ ይሰጣል። ስለዚህ የምርምር ስፋቱን ያጠበዋል እና የበለጠ ትክክለኛ ያደርገዋል።,science/technology,travel
"ለ2 ሰዐታት በቆየው ንግግሩ፣ ""በዛሬው ዕለት Apple ስልክን በድጋሚ የሚፈጥር ይሆናል፣ እኛም በዛሬው ዕለት ታሪክ እንሰራለን"" ሲል ተናግሯል።",science/technology,health
የማጉላት ሌንሶች ጉዳቶች የትኩረት ርዝመቶችን ለማድረስ የሚያስፈልጉ የትኩረት ውስብስብነት እና ብዛት የሌንስ ንጥረ ነገሮች ብዛት ከዋና ሌንሶች እጅግ የላቀ ነው።,science/technology,health
የቴሌቪዥን ሪሞት በመምሰል፣ መቆጣጠሪያው አቅጣጫውን በሶስት-ገፅታዊ ቦታ ለመከፋፈል ከተጠቃሚው ቴሌቪዥን አጠገብ የሚቀመጡ ሁለት ሴንሰሮችን ይጠቀማል።,science/technology,entertainment
. የዚህ እንሰሳ የላባ ቀለም ደማቅ ቡናማ ከላይ እና ነጣ ወይም ብርትኳናማ ካታች ነው ብለዋል ተመራማሪዎች።,science/technology,health
ሁለቱ ውህዶች የኩላሊትን ስራ ሊያግድ የሚችሉ ክሪስታሎችን ለመስራት እርስ በርስ ይቀላቀላሉ፣ በዩኒቨርሲቲው ጥናት አድራጊዎች ተናገሩ።,science/technology,health
ይህም የሚሰጠው የጥራት ሪዞሉሽን የ35 ሚሜ ኔጋቲቭ (3136ሚሜ2 ከ864) ከሚሰጠው የጥራት ሪዞሉሽን ወደ አራት እጥፍ የሚጠጋ ነው።,science/technology,health
ወደ አውሮፓ እና ወደ ብሮድባንድ ሳተላይት ለሚያገናኙ የባህር ስር ፋይበር ኦፕቲክ ሽቦዎች ምስጋና ይግባቸው፤ ግሪንላንድ 93% ህዝብ የበይነ መረብ አገልግሎት የሚያገኝበት በደንብ የተገናኘ ሀገር ነው።,science/technology,travel
በዚህ ምድብ ውስጥ ከስመጥር መተግበሪያች መካከል አንዱ፣ የሚፈለገውን ቋንቋ ውሂብ ካወረደ በኋላ ከመስመር ውጪ የትርጉም ስራ ለመስራት የሚያስችለው ጉግል ትራንስሌት ነው።,science/technology,sports
ጋዝም፣ ፈሳሽም፣ ጠጣርም ቢሆን ተመሳሳይ ሞሎኪውላዊ መዋቅር አለው።,science/technology,geography
