text,translated_text,clean_output
"Mutacija prideda naują genetinę variaciją, o atranka pašalina ją iš išreikštų variacijų jungtinio mėginio.","Lithuanian: Mutacija prideda naują genetinę variaciją, o atranka pašalina ją iš išreikštų variacijų jungtinio mėginio. English: The pride of Lithuanian genetic diversity, the diversity of the Lithuanian population, is the diversity of the genetic structure of the population.","The pride of Lithuanian genetic diversity, the diversity of the Lithuanian population, is the diversity of the genetic structure of the population."
"Branduolinės bombos veikimas pagrįstas principu, kad norint išlaikyti branduolį, kuriame yra daug protonų ir neutronų, reikia daug energijos.","Lithuanian: Branduolinės bombos veikimas pagrįstas principu, kad norint išlaikyti branduolį, kuriame yra daug protonų ir neutronų, reikia daug energijos. English: Brandy is a sweet, alcoholic beverage made from fermented grape juice. It is produced in many countries, including the United States, Canada, Australia, New Zealand, and the United Kingdom. Brandy is a type of fortified wine, and is made from the juice of grapes, usually red wine, but sometimes white wine. Brandy is a type of fortified wine, and is made from the juice of grapes, usually red wine, but sometimes white wine.","Brandy is a sweet, alcoholic beverage made from fermented grape juice. Brandy is a type of fortified wine, and is made from the juice of grapes, usually red wine, but sometimes white wine. It is produced in many countries, including the United States, Canada, Australia, New Zealand, and the United Kingdom."
Branduolį sudaro dvi dalelės – neutronai ir protonai.,Lithuanian: Branduolį sudaro dvi dalelės – neutronai ir protonai. English: Brandy and water.,Brandy and water.
"Tai leido, naudojant priartinantį objektyvą, daryti nuotraukas, kurių kokybė prilygsta kokybei, gaunamai naudojant fiksuoto fokusavimo atstumo objektyvą.","Lithuanian: Tai leido, naudojant priartinantį objektyvą, daryti nuotraukas, kurių kokybė prilygsta kokybei, gaunamai naudojant fiksuoto fokusavimo atstumo objektyvą. English: I have read, the first thing I saw, the first thing I saw was a picture of a house, a house that was built in the past, a house that was built in the past.","I have read, the first thing I saw, the first thing I saw was a picture of a house, a house that was built in the past, a house that was built in the past."
"Jie geresni nei žiniatinklio tarpiniai serveriai dėl kelių priežasčių: nukreipia visą interneto srautą, o ne tik http.","Lithuanian: Jie geresni nei žiniatinklio tarpiniai serveriai dėl kelių priežasčių: nukreipia visą interneto srautą, o ne tik http. English: The Lithuanian government has announced that it will not allow the construction of a new nuclear power plant in Lithuania. The government has also announced that it will not allow the construction of a new nuclear power plant in Lithuania. The government has also announced that it will not allow the construction of a new nuclear power plant in Lithuania.",The Lithuanian government has announced that it will not allow the construction of a new nuclear power plant in Lithuania. The government has also announced that it will not allow the construction of a new nuclear power plant in Lithuania.
Imdamiesi interaktyvaus dizaino turėsite iš naujo įvertinti savo prielaidas apie žiniasklaidos produkcijos kūrimą ir išmokti nelinijinio mąstymo.,Lithuanian: Imdamiesi interaktyvaus dizaino turėsite iš naujo įvertinti savo prielaidas apie žiniasklaidos produkcijos kūrimą ir išmokti nelinijinio mąstymo. English: The design of the interaktyvaus dizaino lining of the building facade is a part of the facade design. The design of the interaktyvaus dizaino lining of the building facade is a part of the facade design.,The design of the interaktyvaus dizaino lining of the building facade is a part of the facade design.
"Tai tapo įprasta praktika, tačiau geležis labiau nudėvėdavo medinius vagonų ratus.","Lithuanian: Tai tapo įprasta praktika, tačiau geležis labiau nudėvėdavo medinius vagonų ratus. English: The practice of tai chi is a way of life. It is a way of living.",It is a way of living. The practice of tai chi is a way of life.
Šeimą sudaro vienas–trys giminystės ryšiais susiję suaugę patinai ir net iki trisdešimt patelių ir jauniklių.,Lithuanian: Šeimą sudaro vienas–trys giminystės ryšiais susiję suaugę patinai ir net iki trisdešimt patelių ir jauniklių. English: The first Lithuanian woman to win a gold medal in the Olympics was Juozas Šimašius. She won the gold medal in the women’s marathon at the 1936 Summer Olympics in Berlin.,She won the gold medal in the women’s marathon at the 1936 Summer Olympics in Berlin. The first Lithuanian woman to win a gold medal in the Olympics was Juozas Šimašius.
"Nors DI turi stiprią konotaciją su moksline fantastika, jis sudaro labai svarbią kompiuterių mokslo šaką, nagrinėjančią elgesio, mokymosi ir išmaniojo pritaikymo mašinoje klausimus.","Lithuanian: Nors DI turi stiprią konotaciją su moksline fantastika, jis sudaro labai svarbią kompiuterių mokslo šaką, nagrinėjančią elgesio, mokymosi ir išmaniojo pritaikymo mašinoje klausimus. English: The Lithuanian fantasy literature is a very rich and diverse one. It is a mixture of the old and the new, the mythical and the realistic, the fantastic and the realistic. The Lithuanian fantasy literature is a very rich and diverse one. It is a mixture of the old and the new, the mythical and the realistic, the fantastic and the realistic.","The Lithuanian fantasy literature is a very rich and diverse one. It is a mixture of the old and the new, the mythical and the realistic, the fantastic and the realistic."
"Todėl sakoma, kad šio formato kraštinių santykis (padalijus iš dvylikos, kad būtų gautas mažiausių sveikųjų skaičių santykis) yra 3:2.","Lithuanian: Todėl sakoma, kad šio formato kraštinių santykis (padalijus iš dvylikos, kad būtų gautas mažiausių sveikųjų skaičių santykis) yra 3:2. English: The Lithuanian government has proposed a new law that would allow the state to seize the assets of companies that do not pay their taxes. The proposal is part of a package of measures to reduce the country’s budget deficit. The proposal is expected to be approved by the parliament on Thursday.",The proposal is expected to be approved by the parliament on Thursday. The Lithuanian government has proposed a new law that would allow the state to seize the assets of companies that do not pay their taxes. The proposal is part of a package of measures to reduce the country’s budget deficit.
"Palydovinis telefonas paprastai neatstoja mobiliojo telefono, nes, norėdami paskambinti, turite būti lauke, kad niekas neužstotų palydovo.","Lithuanian: Palydovinis telefonas paprastai neatstoja mobiliojo telefono, nes, norėdami paskambinti, turite būti lauke, kad niekas neužstotų palydovo. English: The phone call was made by the mobile phone, the number, the call was made, the number of the call.","The phone call was made by the mobile phone, the number, the call was made, the number of the call."
"Nors vežimų kelius sudarė tik lygiagrečiai padėtos medinės lentos, jos leido vežimus traukiančiems arkliams tai daryti greičiau ir buvo galima traukti didesnius krovinius nei ne tokiais lygiais to laikmečio keliais.","Lithuanian: Nors vežimų kelius sudarė tik lygiagrečiai padėtos medinės lentos, jos leido vežimus traukiančiems arkliams tai daryti greičiau ir buvo galima traukti didesnius krovinius nei ne tokiais lygiais to laikmečio keliais. English: The Lithuanian language is a Romance language spoken by about, people in Lithuania, Latvia, and Belarus. It is the official language of Lithuania, Latvia, and Belarus. The language is closely related to the languages of the Baltic countries, and is closely related to the languages of the Baltic countries, and is closely related to the languages of the Baltic countries, and is closely related to the languages of the Baltic countries, and is closely related to the languages of the Baltic countries, and is closely related","The Lithuanian language is a Romance language spoken by about, people in Lithuania, Latvia, and Belarus. The language is closely related to the languages of the Baltic countries, and is closely related to the languages of the Baltic countries, and is closely related to the languages of the Baltic countries, and is closely related to the languages of the Baltic countries, and is closely related to the languages of the Baltic countries, and is closely related It is the official language of Lithuania, Latvia, and Belarus."
"Žmonės nuo senų laikų išmanė apie pagrindinius cheminius elementus, pavyzdžiui, auksą, sidabrą, varį, kadangi juos galima rasti gamtoje jų įprastine forma ir juos lengva iškasti primityviais įrankiais.","Lithuanian: Žmonės nuo senų laikų išmanė apie pagrindinius cheminius elementus, pavyzdžiui, auksą, sidabrą, varį, kadangi juos galima rasti gamtoje jų įprastine forma ir juos lengva iškasti primityviais įrankiais. English: The Lithuanian Ministry of Education and Science has published a new version of the Lithuanian National Curriculum for Primary Education. The new version of the curriculum is based on the European Framework of Reference for Languages (CEFR) and the Common European Framework of Reference for Languages for Adults (CEFR-A). The new curriculum is available in Lithuanian and English.",The new curriculum is available in Lithuanian and English. The new version of the curriculum is based on the European Framework of Reference for Languages (CEFR) and the Common European Framework of Reference for Languages for Adults (CEFR-A). The Lithuanian Ministry of Education and Science has published a new version of the Lithuanian National Curriculum for Primary Education.
Ratas pakeitė pasaulį neįtikėtinais būdais. Didžiausia rato nauda – daug lengvesnis ir spartesnis transportavimas.,Lithuanian: Ratas pakeitė pasaulį neįtikėtinais būdais. Didžiausia rato nauda – daug lengvesnis ir spartesnis transportavimas. English: The Lithuanian government has decided to ban the use of diesel and petrol cars in the country. The ban will be effective from 1 January 2020. The government has decided to ban the use of diesel and petrol cars in the country. The ban will be effective from 1 January 2020.,The government has decided to ban the use of diesel and petrol cars in the country. The ban will be effective from 1 January 2020. The Lithuanian government has decided to ban the use of diesel and petrol cars in the country.
"Tai daroma tam, kad vaizdas apimtų visą ekraną. Tai vadinama vaizdu, išsiplečiančiu už ekrano rodymo ribų (angl. „overscan“).","Lithuanian: Tai daroma tam, kad vaizdas apimtų visą ekraną. Tai vadinama vaizdu, išsiplečiančiu už ekrano rodymo ribų (angl. „overscan“). English: The tai daroma tam, kad vaizdas apimtų visą ekraną. The tai daroma tam, kad vaizdas apimtų visą ekraną. Tai daroma tam, kad vaizdas apimtų visą ekraną. Tai daroma tam, kad vaizdas apimtų visą ekraną. Tai daroma tam, kad vaizdas apimtų visą ekraną. Tai daroma tam, kad vaizdas apimtų visą ekraną. Tai daroma tam, kad vaizdas","The tai daroma tam, kad vaizdas apimtų visą ekraną. Tai daroma tam, kad vaizdas apimtų visą ekraną. Tai daroma tam, kad vaizdas"
Vokiečių povandeniniai laivai buvo vadinami „U Boat“. Vokiečiai povandeninius laivus gerai navigavo ir valdė.,Lithuanian: Vokiečių povandeniniai laivai buvo vadinami „U Boat“. Vokiečiai povandeninius laivus gerai navigavo ir valdė. English: The Vokiečių Peninsula is a peninsula in the north-east of Lithuania. It is located in the north-east of Lithuania. It is located in the north-east of Lithuania.,It is located in the north-east of Lithuania. The Vokiečių Peninsula is a peninsula in the north-east of Lithuania.
"Nors jo fizinė būsena gali keistis, cheminė sudėtis išlieka tokia pati.","Lithuanian: Nors jo fizinė būsena gali keistis, cheminė sudėtis išlieka tokia pati. English: The Norse were the first to build a bridge over the river. The bridge was built by the Norse.",The bridge was built by the Norse. The Norse were the first to build a bridge over the river.
"Paviršiaus įtemptis atsiranda todėl, kad vandens paviršiuje esančios vandens molekulės viena kitą traukia daug stipriau nei virš jų esančios oro molekulės.","Lithuanian: Paviršiaus įtemptis atsiranda todėl, kad vandens paviršiuje esančios vandens molekulės viena kitą traukia daug stipriau nei virš jų esančios oro molekulės. English: The Lithuanian Ministry of Agriculture and Food has announced that the country will be able to export its own milk to the EU market. The decision was made after the European Commission approved the country’s application for the export of its own milk. The Commission has also approved the country’s application for the export of its own milk to the EU market.",The Lithuanian Ministry of Agriculture and Food has announced that the country will be able to export its own milk to the EU market. The Commission has also approved the country’s application for the export of its own milk to the EU market. The decision was made after the European Commission approved the country’s application for the export of its own milk.
"Viena dažniausiai pasitaikančių problemų bandant konvertuoti filmą į DVD formatą yra tai, kad vaizdas išsiplečia už ekrano rodymo ribų.","Lithuanian: Viena dažniausiai pasitaikančių problemų bandant konvertuoti filmą į DVD formatą yra tai, kad vaizdas išsiplečia už ekrano rodymo ribų. English: The film is available in DVD format. The film is available in DVD format. The film is available in DVD format. The film is available in DVD format. The film is available in DVD format. The film is available in DVD format. The film is available in DVD format. The film is available in DVD format. The film is available in DVD format. The film is available in DVD format. The film is available in DVD format. The film is available in DVD format. The film is available",The film is available in DVD format. The film is available
"Visų pirma teigiama, kad galima nustatyti, ar žmogus meluoja, teisingai aiškindamas mikroraiškas.","Lithuanian: Visų pirma teigiama, kad galima nustatyti, ar žmogus meluoja, teisingai aiškindamas mikroraiškas. English: The first step in the process of reconciliation is to recognize the past. The second step is to move forward. The third step is to build a future.",The second step is to move forward. The third step is to build a future. The first step in the process of reconciliation is to recognize the past.
Auksą galima suformuoti į įvairiausias formas. Jį galima valcuoti į mažytes formeles.,Lithuanian: Auksą galima suformuoti į įvairiausias formas. Jį galima valcuoti į mažytes formeles. English: The form of the word is the same as the form of the word.,The form of the word is the same as the form of the word.
"Dirbtinio intelekto sistema dabar dažnai naudojama ekonomikos, medicinos, inžinerijos ir kariuomenės srityse, taip pat yra integruota į keletą namų kompiuterių ir vaizdo žaidimų programų.","Lithuanian: Dirbtinio intelekto sistema dabar dažnai naudojama ekonomikos, medicinos, inžinerijos ir kariuomenės srityse, taip pat yra integruota į keletą namų kompiuterių ir vaizdo žaidimų programų. English: The intellectual system of the Lithuanian language, its structure, development and peculiarities.","The intellectual system of the Lithuanian language, its structure, development and peculiarities."
"Šiandien ji tebegaminama, bet dar svarbiau yra tai, kad jos pločio santykį perėmė skaitmeninių fotoaparatų vaizdo jutiklių formatai.","Lithuanian: Šiandien ji tebegaminama, bet dar svarbiau yra tai, kad jos pločio santykį perėmė skaitmeninių fotoaparatų vaizdo jutiklių formatai. English: I have a question about the time. Lithuanian: Vot ir tebegaminama, bet dar kupaniau yra tai, kad jos pločio santykį perėmė skaitmeninių fotoaparatų vaizdo jutiklių formatai. English: I have a question about the time.","Lithuanian: Vot ir tebegaminama, bet dar kupaniau yra tai, kad jos pločio santykį perėmė skaitmeninių fotoaparatų vaizdo jutiklių formatai. I have a question about the time."
"Dažnai per daug naudojama ir pašiepiama trečdalių taisyklė yra paprasta gairė, vaizde sukurianti dinamiškumo ir išlaikanti šiek tiek tvarkos.","Lithuanian: Dažnai per daug naudojama ir pašiepiama trečdalių taisyklė yra paprasta gairė, vaizde sukurianti dinamiškumo ir išlaikanti šiek tiek tvarkos. English: The main reason for the decline of the Lithuanian language is the decline of the Lithuanian language.",The main reason for the decline of the Lithuanian language is the decline of the Lithuanian language.
"Tai ne tik patvirtina, kad bent kai kurie dinozaurai buvo plunksnuoti (plačiai paplitusi teorija), tačiau suteikia duomenų, kurių fosilijos paprastai suteikti negali, pvz., spalvą ir trimatį išdėstymą.","Lithuanian: Tai ne tik patvirtina, kad bent kai kurie dinozaurai buvo plunksnuoti (plačiai paplitusi teorija), tačiau suteikia duomenų, kurių fosilijos paprastai suteikti negali, pvz., spalvą ir trimatį išdėstymą. English: The Lithuanian government has been trying to get the EU to accept the idea of a common currency for the Baltic states. The EU has rejected the idea.",The EU has rejected the idea. The Lithuanian government has been trying to get the EU to accept the idea of a common currency for the Baltic states.
"Kokia jėga mane trauktų Ijo gravitacija? Jei stovėtumėte ant Ijo paviršiaus, svertumėte mažiau nei Žemėje.","Lithuanian: Kokia jėga mane trauktų Ijo gravitacija? Jei stovėtumėte ant Ijo paviršiaus, svertumėte mažiau nei Žemėje. English: What is the gravity of the moon? What is the gravity of the moon?",What is the gravity of the moon?
"„NextGen“ – tai sistema, kuria remdamasi FAA tvirtina, kad jei orlaiviai skristų trumpesniais maršrutais, kasmet sutaupytų milijonus litrų degalų bei sumažintų anglies dvideginio išmetimą.","Lithuanian: „NextGen“ – tai sistema, kuria remdamasi FAA tvirtina, kad jei orlaiviai skristų trumpesniais maršrutais, kasmet sutaupytų milijonus litrų degalų bei sumažintų anglies dvideginio išmetimą. English: NextGen – a system, which is being implemented by the FAA to improve air traffic control, which will improve the safety of air traffic.","NextGen – a system, which is being implemented by the FAA to improve air traffic control, which will improve the safety of air traffic."
Neurobiologiniai duomenys pateikia fizinių teorinio požiūrio į pažinimo tyrimą įrodymų. Todėl jie susiaurina mokslinių tyrimų sritį ir padaro juos daug tikslesnius.,Lithuanian: Neurobiologiniai duomenys pateikia fizinių teorinio požiūrio į pažinimo tyrimą įrodymų. Todėl jie susiaurina mokslinių tyrimų sritį ir padaro juos daug tikslesnius. English: Neurobiological theories of the origin of the traits of the human race. The origin of the traits of the human race is explained by the neurobiological theories.,The origin of the traits of the human race is explained by the neurobiological theories. Neurobiological theories of the origin of the traits of the human race.
