text,actual_category,predicted_category,generated_text
"Say Mutation so naaruman na genetic variation,inekal so selection manlapud expressed variation.",science/technology,politics,"""Say Mutation so naaruman na genetic variation,inekal so selection manlapud expressed variation."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, tourism, and politics.
"
Say fission bomb et ongagana base ed prinsipyon nakaukolan so energy pian napaniba so nucleus ya walay amayamay protons tan neutrons.,science/technology,travel," ""Say fission bomb et ongagana base ed prinsipyon nakaukolan so energy pian napaniba so nucleus ya walay amayamay protons tan neutrons."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, and travel.
</s>"
Say nucleus et tugyopen na duaran kabiangan - say neutrons tan protons.,science/technology,travel," ""Say nucleus et tugyopen na duaran kabiangan - say neutrons tan protons."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, and travel.
</s>"
Mamapawala na atagey ya kualidad ya litrato so sarayan zoom lenses ya singa kualidad na naalad lenses ya walay fixed focal length.,science/technology,travel,"""Mamapawala na atagey ya kualidad ya litrato so sarayan zoom lenses ya singa kualidad na naalad lenses ya walay fixed focal length."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, and/or travel.
"
Superior ira ed web proxies diad nanduruman rason.Iduma da so website na internet aliwa labat ya http.,science/technology,sports,"""Superior ira ed web proxies diad nanduruman rason.Iduma da so website na internet aliwa labat ya http."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, tourism, and sports.
"
Diad interactive design et nakaukolan ya nasubok so pankunwari tungkol ed media production tan naaralan so mannunot ed paraan ya non-linear.,science/technology,N/A," ""Diad interactive design et nakaukolan ya nasubok so pankunwari tungkol ed media production tan naaralan so mannunot ed paraan ya non-linear."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science and technology. ""
</s>Q: How"
"Ontan so ginawa na karaklan, balet mas maganon nadederel iray tabla ya dalig na karumata lapud samay balatyang.",science/technology,N/A," ""Ontan so ginawa na karaklan, balet mas maganon nadederel iray tabla ya dalig na karumata lapud samay balatyang."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: tourism.
</s>Q: How to get the"
Say pride et tibukeIen na sakey ya anggad taIoran sankakanayon ya mataken Ian boIog. kaiba na satan iray kainaan ya manga taIompIo ontan met ed saray kiIaw da.,science/technology,N/A,"""Say pride et tibukeIen na sakey ya anggad taIoran sankakanayon ya mataken Ian boIog. kaiba na satan iray kainaan ya manga taIompIo ontan met ed saray kiIaw da."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: ""Science/Technology, Travel, Politics, Sports"
"Anggano dakel so mangibabagan say AI et science fiction, walay importantin branch na computer science ya abuo lapud satan, tungkol iyad panggawa ed saray machine ya walaay ugali tan talino a singa ed too.",science/technology,N/A," ""Anggano dakel so mangibabagan say AI et science fiction, walay importantin branch na computer science ya abuo lapud satan, tungkol iyad panggawa ed saray machine ya walaay ugali tan talino a singa ed too."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: ""I'm not sure.""
</s>Q"
Say ratio na sayan format et 3:2.,science/technology,travel,"""Say ratio na sayan format et 3:2."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, and/or travel.
"
"Say satellite phone et agkasalat na mobile phone, ta kaukolan moy onlad paway pian makakonekta kad satellite tan makatawag ka.",science/technology,sports,"""Say satellite phone et agkasalat na mobile phone, ta kaukolan moy onlad paway pian makakonekta kad satellite tan makatawag ka."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, tourism, and sports.
"
"Anggano saray dalan na karumata et gawad nandarasig ya tabla, akatulong iratan ed saray kabayo pian mas ompeles ira tan mainomay day ongguyor anggan ambelat so karga kompara ed mabaton dalan.",science/technology,N/A,"""Anggano saray dalan na karumata et gawad nandarasig ya tabla, akatulong iratan ed saray kabayo pian mas ompeles ira tan mainomay day ongguyor anggan ambelat so karga kompara ed mabaton dalan."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: ""I'm not sure, but I think"
"Amta na totoo so manuna iran chemical element singa say gold,silver,copper,ya naromog iraya ed kalikasan tan usaren so naunan gamit.",science/technology,sports,"""Amta na totoo so manuna iran chemical element singa say gold,silver,copper,ya naromog iraya ed kalikasan tan usaren so naunan gamit."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, tourism, and sports.
"
Anguuman so mundo ed makapakelkelaw a daIan. Sa sangkabaIegan ya pananguman ey say mainomay tan mapIes iran IuIuganan.,science/technology,politics,"""Anguuman so mundo ed makapakelkelaw a daIan. Sa sangkabaIegan ya pananguman ey say mainomay tan mapIes iran IuIuganan."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, tourism, and politics.
"
Overscan so tawag ed saya. Ginawa ya pian say litrato ed panoen to so intiron screen.,science/technology,travel,"""Overscan so tawag ed saya. Ginawa ya pian say litrato ed panoen to so intiron screen."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, and/or travel.
"
Say tawag ed German submarines et U-boats.Saray German et ekspertod pangobkob tan pangusar na saray submarines.,science/technology,politics,"""Say tawag ed German submarines et U-boats.Saray German et ekspertod pangobkob tan pangusar na saray submarines."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, tourism, and politics.
"
"Say physical state to et nasalatan,say chemical state to mansiansian.",science/technology,politics,"""Say physical state to et nasalatan,say chemical state to mansiansian."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, tourism, and politics.
"
Say Surface tension so nagawa Iapud say water molecules diad tapew na danum so man attrack ed baIang sakey ya mas ni Iapud air molecules ed tapew da.,science/technology,travel,"""Say Surface tension so nagawa Iapud say water molecules diad tapew na danum so man attrack ed baIang sakey ya mas ni Iapud air molecules ed tapew da."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, and/or travel.
"
Sakey ed maslak ya problema no sasalien ya i-convert so sakey ya pelikula pian magmaliw ya DVD so format to et say overscan.,science/technology,travel,"""Sakey ed maslak ya problema no sasalien ya i-convert so sakey ya pelikula pian magmaliw ya DVD so format to et say overscan."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, and/or travel.
"
Nanengneng ed lupa no say sakey et mantitila panamegley na saray andawes to.,science/technology,N/A," ""Nanengneng ed lupa no say sakey et mantitila panamegley na saray andawes to."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: tourism.
</s>Q: How to get the"
Say Gold et nayarin gaewen ya naduruman tabas. Nayari met ya apag apagened angkekeIad ya desisnyo.,science/technology,politics,"""Say Gold et nayarin gaewen ya naduruman tabas. Nayari met ya apag apagened angkekeIad ya desisnyo."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, tourism, and politics.
"
"Natan, say AI so mabetbet ya uusaren parad ekonomiya, medisina, engineering, tan diad military, anggan diad saray dakel ya computer tan software na video game.",science/technology,entertainment,"""Natan, say AI so mabetbet ya uusaren parad ekonomiya, medisina, engineering, tan diad military, anggan diad saray dakel ya computer tan software na video game."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, culture, and entertainment.
"
"Uusaren ni iya anggad natan, pero lalon importanten say aspect ratio to et atawir na saray digital camera image sensor formats.",science/technology,N/A," ""Uusaren ni iya anggad natan, pero lalon importanten say aspect ratio to et atawir na saray digital camera image sensor formats."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science and technology.
</s>Q: How to"
Pansiansiaen so sukat na image pian sustoy dynamics to.,science/technology,politics,"""Pansiansiaen so sukat na image pian sustoy dynamics to."" What category does this sentence belong to? science/technology, travel, politics, sports, health, entertainment, geography?? The correct answer is: science, technology, tourism, and politics.
"
